,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Charters Towers,-20.1,146.2667,25.55,64,62,3.85,AU,1615033280
1,Sistranda,63.7256,8.834,2.0,75,75,14.92,NO,1615033280
2,Kumul,42.8,93.45,7.54,49,36,2.24,CN,1615033280
3,Ancud,-41.8697,-73.8203,15.0,100,90,5.66,CL,1615033280
4,Ahipara,-35.1667,173.1667,17.43,87,100,3.2,NZ,1615033280
5,Moskovskiy,55.5991,37.355,-2.22,58,75,5.0,RU,1615033280
6,Bathsheba,13.2167,-59.5167,26.0,69,20,7.72,BB,1615033280
7,Tuktoyaktuk,69.4541,-133.0374,-25.62,90,8,2.8,CA,1615033281
8,Bethel,41.3712,-73.414,-3.89,67,81,2.94,US,1615033281
9,Torbay,47.6666,-52.7314,1.11,74,75,7.2,CA,1615033281
10,George Town,5.4112,100.3354,27.78,78,20,3.09,MY,1615033281
11,Darhan,49.4867,105.9228,-7.47,90,7,2.11,MN,1615033281
12,Severo-Kuril'sk,50.6789,156.125,-7.24,92,100,12.36,RU,1615033281
13,Saldanha,-33.0117,17.9442,25.0,50,63,3.09,ZA,1615033281
14,Puerto Ayora,-0.7393,-90.3518,23.33,98,8,1.34,EC,1615033281
15,Alpena,45.0617,-83.4327,-7.78,45,1,1.54,US,1615033281
16,Kapaa,22.0752,-159.319,20.0,94,75,10.8,US,1615033281
17,Port Alfred,-33.5906,26.891,23.33,79,0,4.47,ZA,1615033030
18,Maués,-3.3836,-57.7186,24.98,90,98,1.39,BR,1615033282
19,Saint George,37.1041,-113.5841,11.67,29,1,2.57,US,1615033282
20,Cabedelo,-6.9811,-34.8339,29.0,70,40,6.17,BR,1615033282
21,Los Llanos de Aridane,28.6585,-17.9182,20.0,64,20,9.26,ES,1615033282
22,Bandundu Province,-3.3167,17.3667,25.18,77,100,5.39,CD,1615033282
23,Lagunas,-5.2269,-75.6753,22.78,97,100,0.77,PE,1615033282
24,Upernavik,72.7868,-56.1549,-24.82,88,100,5.67,GL,1615033282
25,Punta Arenas,-53.15,-70.9167,11.0,82,40,6.69,CL,1615033282
26,Souillac,-20.5167,57.5167,32.0,70,75,5.14,MU,1615033282
27,Atuona,-9.8,-139.0333,26.09,76,7,6.04,PF,1615033075
